api,attribute_qtt,pagination,time,size
GRAPHQL,one,False,0.4216938018798828,445
GRAPHQL,one,False,0.2716958522796631,445
GRAPHQL,one,False,0.25460314750671387,445
GRAPHQL,one,False,0.26100897789001465,445
GRAPHQL,one,False,0.2615950107574463,445
GRAPHQL,all,False,0.4371640682220459,2527
GRAPHQL,all,False,0.5119421482086182,2527
GRAPHQL,all,False,0.5058202743530273,2527
GRAPHQL,all,False,0.41074609756469727,2527
GRAPHQL,all,False,0.4181938171386719,2527
GRAPHQL,one,True,3.8312249183654785,4896
GRAPHQL,one,True,2.8381268978118896,4896
GRAPHQL,one,True,2.5949912071228027,4896
GRAPHQL,one,True,2.740807056427002,4896
GRAPHQL,one,True,2.8741660118103027,4896
GRAPHQL,all,True,3.441153049468994,25827
GRAPHQL,all,True,4.052329063415527,25827
GRAPHQL,all,True,3.7355048656463623,25827
GRAPHQL,all,True,4.0562238693237305,25827
GRAPHQL,all,True,4.628536939620972,25827
REST,one,False,0.34429073333740234,9672
REST,one,False,0.2912731170654297,9672
REST,one,False,0.24037694931030273,9672
REST,one,False,0.46463799476623535,9672
REST,one,False,0.2787048816680908,9672
REST,all,False,0.2655019760131836,9672
REST,all,False,0.2507293224334717,9672
REST,all,False,0.26977109909057617,9672
REST,all,False,0.2618110179901123,9672
REST,all,False,0.40775394439697266,9672
REST,one,True,2.6297919750213623,97211
REST,one,True,2.7418859004974365,97211
REST,one,True,3.272780656814575,97211
REST,one,True,2.7158639430999756,97211
REST,one,True,2.76200795173645,97211
REST,all,True,2.986483335494995,97211
REST,all,True,2.6495771408081055,97211
REST,all,True,3.62396502494812,97211
REST,all,True,3.5692479610443115,97211
REST,all,True,2.7091336250305176,97211
