nameWithOwner,createdAt,pushedAt,primaryLanguage,stargazers,releases,mergedPRs,closedIssues,totalIssues,Repository Age,Accepted Pull Requests,Total Releases,Time Since Last Update,Language,Closed Issues Percent,Days Since Last Update
apple/swift,2015-10-23T21:15:07Z,2021-03-03T21:20:34Z,{'name': 'C++'},{'totalCount': 55249},{'totalCount': 30},{'totalCount': 31654},{'totalCount': 0},{'totalCount': 0},1488,2626,54,,TypeScript,98.83148831488316,0.0
gothinkster/realworld,2016-02-26T20:49:53Z,2021-03-03T06:06:07Z,{'name': 'JavaScript'},{'totalCount': 54972},{'totalCount': 0},{'totalCount': 171},{'totalCount': 191},{'totalCount': 401},2797,6178,194,,Go,96.93450114242194,0.0
jquery/jquery,2009-04-03T15:20:14Z,2021-03-02T17:12:35Z,{'name': 'JavaScript'},{'totalCount': 54604},{'totalCount': 2},{'totalCount': 506},{'totalCount': 2031},{'totalCount': 2090},4298,218,0,,,91.61836127212909,1064.0
atom/atom,2012-01-20T18:18:21Z,2021-03-03T14:48:38Z,{'name': 'JavaScript'},{'totalCount': 54450},{'totalCount': 526},{'totalCount': 3777},{'totalCount': 15744},{'totalCount': 16352},2314,541,60,,JavaScript,75.32368621477532,0.0
tonsky/FiraCode,2014-11-11T19:32:38Z,2021-02-18T23:34:41Z,{'name': 'Clojure'},{'totalCount': 54365},{'totalCount': 26},{'totalCount': 98},{'totalCount': 798},{'totalCount': 1048},1459,287,0,,,98.14814814814815,1.0
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,2021-03-03T14:53:09Z,{'name': 'JavaScript'},{'totalCount': 54349},{'totalCount': 0},{'totalCount': 1491},{'totalCount': 501},{'totalCount': 577},1488,2626,54,,TypeScript,98.83148831488316,0.0
pallets/flask,2010-04-06T11:11:59Z,2021-03-01T15:25:16Z,{'name': 'Python'},{'totalCount': 54069},{'totalCount': 10},{'totalCount': 1138},{'totalCount': 2036},{'totalCount': 2056},2797,6178,194,,Go,96.93450114242194,0.0
elastic/elasticsearch,2010-02-08T13:20:56Z,2021-03-03T21:53:44Z,{'name': 'Java'},{'totalCount': 53924},{'totalCount': 41},{'totalCount': 36389},{'totalCount': 23617},{'totalCount': 26348},4298,218,0,,,91.61836127212909,1064.0
spring-projects/spring-boot,2012-10-19T15:02:57Z,2021-03-03T18:22:07Z,{'name': 'Java'},{'totalCount': 53778},{'totalCount': 87},{'totalCount': 41},{'totalCount': 20179},{'totalCount': 20667},2314,541,60,,JavaScript,75.32368621477532,0.0
rust-lang/rust,2010-06-16T20:39:03Z,2021-03-03T21:43:33Z,{'name': 'Rust'},{'totalCount': 52726},{'totalCount': 84},{'totalCount': 33264},{'totalCount': 31605},{'totalCount': 38152},1459,287,0,,,98.14814814814815,1.0
