nameWithOwner,createdAt,pushedAt,primaryLanguage,stargazers,releases,mergedPRs,closedIssues,totalIssues,Repository Age,Accepted Pull Requests,Total Releases,Time Since Last Update,Language,Closed Issues Percent,Days Since Last Update
sindresorhus/awesome-nodejs,2014-07-11T13:35:34Z,2021-03-02T21:26:29Z,,{'totalCount': 40141},{'totalCount': 0},{'totalCount': 371},{'totalCount': 87},{'totalCount': 90},1459,287,0,,,98.14814814814815,1.0
grafana/grafana,2013-12-11T15:59:56Z,2021-03-03T21:56:03Z,{'name': 'TypeScript'},{'totalCount': 40094},{'totalCount': 208},{'totalCount': 10445},{'totalCount': 16712},{'totalCount': 19087},1488,2626,54,,TypeScript,98.83148831488316,0.0
aymericdamien/TensorFlow-Examples,2015-11-11T14:21:19Z,2020-12-29T19:59:07Z,{'name': 'Jupyter Notebook'},{'totalCount': 40069},{'totalCount': 0},{'totalCount': 87},{'totalCount': 66},{'totalCount': 223},2797,6178,194,,Go,96.93450114242194,0.0
wasabeef/awesome-android-ui,2014-12-24T01:45:03Z,2021-02-13T06:32:53Z,,{'totalCount': 39974},{'totalCount': 0},{'totalCount': 84},{'totalCount': 88},{'totalCount': 88},4298,218,0,,,91.61836127212909,1064.0
scrapy/scrapy,2010-02-22T02:01:14Z,2021-03-03T15:30:23Z,{'name': 'Python'},{'totalCount': 39932},{'totalCount': 19},{'totalCount': 1628},{'totalCount': 1923},{'totalCount': 2395},2314,541,60,,JavaScript,75.32368621477532,0.0
minimaxir/big-list-of-naughty-strings,2015-08-08T20:57:20Z,2021-02-22T01:19:23Z,{'name': 'Python'},{'totalCount': 39877},{'totalCount': 0},{'totalCount': 89},{'totalCount': 28},{'totalCount': 77},1459,287,0,,,98.14814814814815,1.0
yarnpkg/yarn,2016-01-19T17:39:16Z,2021-03-03T09:19:46Z,{'name': 'JavaScript'},{'totalCount': 39575},{'totalCount': 141},{'totalCount': 1652},{'totalCount': 4434},{'totalCount': 6174},1488,2626,54,,TypeScript,98.83148831488316,0.0
square/okhttp,2012-07-23T13:42:55Z,2021-03-03T08:20:38Z,{'name': 'Java'},{'totalCount': 39508},{'totalCount': 0},{'totalCount': 2566},{'totalCount': 3240},{'totalCount': 3336},2797,6178,194,,Go,96.93450114242194,0.0
soimort/you-get,2012-08-20T15:53:36Z,2021-03-03T13:26:47Z,{'name': 'Python'},{'totalCount': 39304},{'totalCount': 108},{'totalCount': 534},{'totalCount': 0},{'totalCount': 0},4298,218,0,,,91.61836127212909,1064.0
prettier/prettier,2016-11-29T17:13:37Z,2021-03-03T13:13:04Z,{'name': 'JavaScript'},{'totalCount': 39057},{'totalCount': 72},{'totalCount': 4659},{'totalCount': 4170},{'totalCount': 4814},2314,541,60,,JavaScript,75.32368621477532,0.0
serverless/serverless,2015-04-21T03:48:40Z,2021-03-03T19:33:17Z,{'name': 'JavaScript'},{'totalCount': 38993},{'totalCount': 231},{'totalCount': 3321},{'totalCount': 4128},{'totalCount': 4978},1459,287,0,,,98.14814814814815,1.0
tesseract-ocr/tesseract,2014-08-12T18:04:59Z,2021-03-03T21:56:24Z,{'name': 'C++'},{'totalCount': 38944},{'totalCount': 10},{'totalCount': 1112},{'totalCount': 1721},{'totalCount': 2026},1488,2626,54,,TypeScript,98.83148831488316,0.0
ageitgey/face_recognition,2017-03-03T21:52:39Z,2021-02-14T15:50:55Z,{'name': 'Python'},{'totalCount': 38766},{'totalCount': 2},{'totalCount': 83},{'totalCount': 529},{'totalCount': 1103},2797,6178,194,,Go,96.93450114242194,0.0
DopplerHQ/awesome-interview-questions,2015-11-28T09:48:17Z,2021-03-02T03:26:22Z,,{'totalCount': 38528},{'totalCount': 0},{'totalCount': 146},{'totalCount': 20},{'totalCount': 27},4298,218,0,,,91.61836127212909,1064.0
babel/babel,2014-09-28T13:38:23Z,2021-03-03T22:06:31Z,{'name': 'JavaScript'},{'totalCount': 38515},{'totalCount': 246},{'totalCount': 4003},{'totalCount': 7013},{'totalCount': 7607},2314,541,60,,JavaScript,75.32368621477532,0.0
juliangarnier/anime,2016-03-13T21:37:45Z,2021-01-23T11:26:34Z,{'name': 'JavaScript'},{'totalCount': 38439},{'totalCount': 14},{'totalCount': 71},{'totalCount': 460},{'totalCount': 597},1459,287,0,,,98.14814814814815,1.0
Dogfalo/materialize,2014-09-12T19:35:38Z,2021-02-05T11:32:15Z,{'name': 'JavaScript'},{'totalCount': 38381},{'totalCount': 41},{'totalCount': 449},{'totalCount': 4566},{'totalCount': 5178},1488,2626,54,,TypeScript,98.83148831488316,0.0
android/architecture-samples,2016-02-05T13:42:07Z,2021-02-14T02:03:26Z,{'name': 'Kotlin'},{'totalCount': 38310},{'totalCount': 0},{'totalCount': 172},{'totalCount': 280},{'totalCount': 404},2797,6178,194,,Go,96.93450114242194,0.0
ColorlibHQ/AdminLTE,2013-12-25T02:52:40Z,2021-03-01T12:27:19Z,{'name': 'HTML'},{'totalCount': 37903},{'totalCount': 69},{'totalCount': 635},{'totalCount': 2398},{'totalCount': 2431},4298,218,0,,,91.61836127212909,1064.0
nwjs/nw.js,2012-01-04T06:21:10Z,2021-03-03T09:49:31Z,{'name': 'JavaScript'},{'totalCount': 37894},{'totalCount': 0},{'totalCount': 561},{'totalCount': 6071},{'totalCount': 6861},2314,541,60,,JavaScript,75.32368621477532,0.0
parcel-bundler/parcel,2017-08-07T16:36:47Z,2021-03-03T21:53:27Z,{'name': 'JavaScript'},{'totalCount': 37745},{'totalCount': 1},{'totalCount': 1516},{'totalCount': 2967},{'totalCount': 3531},1459,287,0,,,98.14814814814815,1.0
tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,2021-03-03T19:39:53Z,{'name': 'CSS'},{'totalCount': 37659},{'totalCount': 139},{'totalCount': 846},{'totalCount': 1233},{'totalCount': 1249},1488,2626,54,,TypeScript,98.83148831488316,0.0
square/retrofit,2010-09-06T21:39:43Z,2021-02-24T13:08:49Z,{'name': 'Java'},{'totalCount': 37644},{'totalCount': 27},{'totalCount': 718},{'totalCount': 2349},{'totalCount': 2459},2797,6178,194,,Go,96.93450114242194,0.0
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,2021-03-01T00:35:49Z,{'name': 'Python'},{'totalCount': 37594},{'totalCount': 9},{'totalCount': 14},{'totalCount': 1596},{'totalCount': 1601},4298,218,0,,,91.61836127212909,1064.0
ziishaned/learn-regex,2017-07-22T12:21:03Z,2021-02-22T05:51:29Z,,{'totalCount': 37390},{'totalCount': 0},{'totalCount': 106},{'totalCount': 33},{'totalCount': 72},2314,541,60,,JavaScript,75.32368621477532,0.0
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,2021-02-25T06:46:53Z,,{'totalCount': 37269},{'totalCount': 0},{'totalCount': 98},{'totalCount': 39},{'totalCount': 44},1459,287,0,,,98.14814814814815,1.0
florinpop17/app-ideas,2019-02-25T18:36:56Z,2021-02-09T17:04:45Z,,{'totalCount': 37191},{'totalCount': 0},{'totalCount': 149},{'totalCount': 28},{'totalCount': 52},1488,2626,54,,TypeScript,98.83148831488316,0.0
astaxie/build-web-application-with-golang,2012-08-02T11:49:35Z,2021-03-03T15:32:36Z,{'name': 'Go'},{'totalCount': 37036},{'totalCount': 0},{'totalCount': 745},{'totalCount': 181},{'totalCount': 285},2797,6178,194,,Go,96.93450114242194,0.0
godotengine/godot,2014-01-04T16:05:36Z,2021-03-03T22:07:52Z,{'name': 'C++'},{'totalCount': 36929},{'totalCount': 28},{'totalCount': 15049},{'totalCount': 21743},{'totalCount': 26724},4298,218,0,,,91.61836127212909,1064.0
vsouza/awesome-ios,2014-07-10T16:03:45Z,2021-02-24T14:25:54Z,{'name': 'Swift'},{'totalCount': 36812},{'totalCount': 0},{'totalCount': 2136},{'totalCount': 437},{'totalCount': 438},2314,541,60,,JavaScript,75.32368621477532,0.0
FreeCodeCampChina/freecodecamp.cn,2016-09-30T03:13:43Z,2020-09-04T04:10:36Z,{'name': 'CSS'},{'totalCount': 36677},{'totalCount': 0},{'totalCount': 55},{'totalCount': 444},{'totalCount': 585},1459,287,0,,,98.14814814814815,1.0
leonardomso/33-js-concepts,2018-09-04T13:27:04Z,2021-01-21T14:06:12Z,{'name': 'JavaScript'},{'totalCount': 36620},{'totalCount': 0},{'totalCount': 98},{'totalCount': 24},{'totalCount': 27},1488,2626,54,,TypeScript,98.83148831488316,0.0
v2ray/v2ray-core,2015-09-04T11:42:53Z,2021-02-26T05:25:31Z,{'name': 'Go'},{'totalCount': 36607},{'totalCount': 247},{'totalCount': 202},{'totalCount': 2340},{'totalCount': 2355},2797,6178,194,,Go,96.93450114242194,0.0
gogs/gogs,2014-02-12T01:57:08Z,2021-02-28T12:46:51Z,{'name': 'Go'},{'totalCount': 36516},{'totalCount': 60},{'totalCount': 1186},{'totalCount': 3984},{'totalCount': 4696},4298,218,0,,,91.61836127212909,1064.0
python/cpython,2017-02-10T19:23:51Z,2021-03-03T21:33:29Z,{'name': 'Python'},{'totalCount': 36497},{'totalCount': 0},{'totalCount': 19697},{'totalCount': 0},{'totalCount': 0},2314,541,60,,JavaScript,75.32368621477532,0.0
prakhar1989/awesome-courses,2014-11-15T18:36:49Z,2021-01-26T11:12:18Z,,{'totalCount': 36485},{'totalCount': 0},{'totalCount': 184},{'totalCount': 34},{'totalCount': 60},1459,287,0,,,98.14814814814815,1.0
TryGhost/Ghost,2013-05-04T11:09:13Z,2021-03-03T21:52:51Z,{'name': 'JavaScript'},{'totalCount': 36397},{'totalCount': 393},{'totalCount': 5245},{'totalCount': 5992},{'totalCount': 6028},1488,2626,54,,TypeScript,98.83148831488316,0.0
x64dbg/x64dbg,2015-04-11T20:48:23Z,2021-02-15T21:25:14Z,{'name': 'C++'},{'totalCount': 36330},{'totalCount': 3},{'totalCount': 498},{'totalCount': 1512},{'totalCount': 1956},2797,6178,194,,Go,96.93450114242194,0.0
impress/impress.js,2011-12-28T22:23:19Z,2021-03-02T11:35:12Z,{'name': 'JavaScript'},{'totalCount': 36179},{'totalCount': 14},{'totalCount': 97},{'totalCount': 395},{'totalCount': 442},4298,218,0,,,91.61836127212909,1064.0
git/git,2008-07-23T14:21:26Z,2021-03-03T10:21:18Z,{'name': 'C'},{'totalCount': 36106},{'totalCount': 0},{'totalCount': 2},{'totalCount': 0},{'totalCount': 0},2314,541,60,,JavaScript,75.32368621477532,0.0
TheAlgorithms/Java,2016-07-16T10:21:02Z,2021-03-03T18:02:36Z,{'name': 'Java'},{'totalCount': 35789},{'totalCount': 0},{'totalCount': 505},{'totalCount': 215},{'totalCount': 322},1459,287,0,,,98.14814814814815,1.0
JetBrains/kotlin,2012-02-13T17:29:58Z,2021-03-03T22:04:59Z,,{'totalCount': 35741},{'totalCount': 158},{'totalCount': 1745},{'totalCount': 0},{'totalCount': 0},1488,2626,54,,TypeScript,98.83148831488316,0.0
apache/superset,2015-07-21T18:55:34Z,2021-03-03T21:32:19Z,{'name': 'Python'},{'totalCount': 35715},{'totalCount': 22},{'totalCount': 6005},{'totalCount': 5166},{'totalCount': 5819},2797,6178,194,,Go,96.93450114242194,0.0
bailicangdu/vue2-elm,2016-12-23T01:49:20Z,2021-01-22T04:56:14Z,{'name': 'Vue'},{'totalCount': 35660},{'totalCount': 0},{'totalCount': 20},{'totalCount': 449},{'totalCount': 530},4298,218,0,,,91.61836127212909,1064.0
prometheus/prometheus,2012-11-24T11:14:12Z,2021-03-03T21:09:09Z,{'name': 'Go'},{'totalCount': 35600},{'totalCount': 168},{'totalCount': 3582},{'totalCount': 3581},{'totalCount': 3873},2314,541,60,,JavaScript,75.32368621477532,0.0
k88hudson/git-flight-rules,2014-07-22T20:35:09Z,2021-02-25T14:17:00Z,,{'totalCount': 35497},{'totalCount': 0},{'totalCount': 203},{'totalCount': 48},{'totalCount': 61},1459,287,0,,,98.14814814814815,1.0
vercel/hyper,2016-07-01T06:01:21Z,2021-03-01T16:16:00Z,{'name': 'TypeScript'},{'totalCount': 35375},{'totalCount': 64},{'totalCount': 1727},{'totalCount': 2518},{'totalCount': 3201},1488,2626,54,,TypeScript,98.83148831488316,0.0
Alamofire/Alamofire,2014-07-31T05:56:19Z,2021-03-02T03:10:30Z,{'name': 'Swift'},{'totalCount': 35320},{'totalCount': 84},{'totalCount': 482},{'totalCount': 2489},{'totalCount': 2516},2797,6178,194,,Go,96.93450114242194,0.0
syncthing/syncthing,2013-11-26T09:48:21Z,2021-03-03T21:48:44Z,{'name': 'Go'},{'totalCount': 35211},{'totalCount': 244},{'totalCount': 1803},{'totalCount': 4147},{'totalCount': 4402},4298,218,0,,,91.61836127212909,1064.0
junegunn/fzf,2013-10-23T16:04:23Z,2021-02-28T12:01:04Z,{'name': 'Go'},{'totalCount': 35177},{'totalCount': 7},{'totalCount': 277},{'totalCount': 1685},{'totalCount': 1847},2314,541,60,,JavaScript,75.32368621477532,0.0
sdmg15/Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,2021-03-02T21:34:26Z,,{'totalCount': 35026},{'totalCount': 0},{'totalCount': 287},{'totalCount': 53},{'totalCount': 54},1459,287,0,,,98.14814814814815,1.0
nestjs/nest,2017-02-04T20:12:52Z,2021-03-03T20:52:49Z,{'name': 'TypeScript'},{'totalCount': 35013},{'totalCount': 54},{'totalCount': 2626},{'totalCount': 3214},{'totalCount': 3252},1488,2626,54,,TypeScript,98.83148831488316,0.0
etcd-io/etcd,2013-07-06T21:57:21Z,2021-03-03T18:38:22Z,{'name': 'Go'},{'totalCount': 34959},{'totalCount': 194},{'totalCount': 6178},{'totalCount': 5091},{'totalCount': 5252},2797,6178,194,,Go,96.93450114242194,0.0
nodejs/node-v0.x-archive,2009-05-27T16:29:46Z,2018-04-04T08:28:02Z,,{'totalCount': 34952},{'totalCount': 0},{'totalCount': 218},{'totalCount': 5848},{'totalCount': 6383},4298,218,0,,,91.61836127212909,1064.0
mermaid-js/mermaid,2014-11-01T23:52:32Z,2021-03-03T00:07:34Z,{'name': 'JavaScript'},{'totalCount': 34768},{'totalCount': 60},{'totalCount': 541},{'totalCount': 989},{'totalCount': 1313},2314,541,60,,JavaScript,75.32368621477532,0.0
