Owner/Repository,Repository Age,Stars,Total Releases,CBO,DIT,WMC,LOC
CyC2018/CS-Notes,1129,123636,0,,,,
Snailclimb/JavaGuide,1046,99759,0,,,,
iluwatar/java-design-patterns,2413,64742,0,3.0,1.0,2.0,29548.0
MisterBooo/LeetCodeAnimation,833,63208,0,1.0,1.0,6.0,265.0
elastic/elasticsearch,4056,54109,42,6.0,2.0,5.0,1677993.0
spring-projects/spring-boot,3072,54007,87,4.0,1.0,2.0,283212.0
doocs/advanced-java,894,52775,0,,,,
kdn251/interviews,1493,50566,0,1.0,1.0,5.0,11708.0
macrozheng/mall,1079,47284,1,3.0,1.0,11.0,100908.0
ReactiveX/RxJava,2991,44345,215,1.0,1.0,1.0,367447.0
spring-projects/spring-framework,3753,41882,203,3.0,1.0,3.0,621197.0
google/guava,2485,40610,31,2.0,1.0,2.0,525811.0
square/okhttp,3160,39608,0,3.0,1.0,3.0,30574.0
square/retrofit,3846,37718,27,3.0,1.0,1.0,26263.0
TheAlgorithms/Java,1706,36027,0,1.0,1.0,7.0,11745.0
apache/dubbo,3194,34842,28,4.0,1.0,4.0,174520.0
PhilJay/MPAndroidChart,2519,32957,44,5.0,1.0,5.0,21111.0
bumptech/glide,2810,30870,36,4.0,1.0,3.0,57686.0
airbnb/lottie-android,1624,30823,29,4.0,1.0,5.0,14790.0
kon9chunkit/GitHub-Chinese-Top-Charts,560,30689,0,,,,
Blankj/AndroidUtilCode,1692,29011,116,2.0,1.0,3.0,39780.0
zxing/zxing,3445,27364,27,4.0,2.0,7.0,35751.0
netty/netty,3782,26206,0,4.0,1.0,3.0,286109.0
crossoverJie/JCSprout,1187,25903,0,1.0,1.0,2.0,4252.0
NationalSecurityAgency/ghidra,748,25736,0,5.0,1.0,6.0,1303062.0
JakeWharton/butterknife,2935,25651,0,2.0,1.0,1.0,7712.0
geekxh/hello-algorithm,293,25530,0,1.0,1.0,7.0,1851.0
proxyee-down-org/proxyee-down,1240,25509,49,4.0,1.0,6.0,3392.0
skylot/jadx,2922,25444,14,3.0,1.0,2.0,79005.0
eugenp/tutorials,2880,25192,0,3.0,1.0,3.0,325110.0
zhangdaiscott/jeecg-boot,843,20853,13,4.0,1.0,3.0,27435.0
lenve/vhr,1169,20608,0,2.0,1.0,7.0,2971.0
SeleniumHQ/selenium,2985,20352,27,4.0,1.0,3.0,86806.0
signalapp/Signal-Android,3381,20082,0,5.0,1.0,4.0,208910.0
hollischuang/toBeTopJavaer,875,19904,0,,,,
qiurunze123/miaosha,916,19536,0,3.0,1.0,3.0,8714.0
dbeaver/dbeaver,1975,19455,123,5.0,1.0,4.0,350574.0
ReactiveX/RxAndroid,2403,19342,18,1.0,1.0,1.0,1436.0
google/gson,2191,19302,0,2.0,1.0,1.0,28742.0
alibaba/easyexcel,1136,19164,1,5.0,1.0,4.0,15778.0
zhangdaiscott/jeecg-boot,843,20853,13,4.0,1.0,3.0,27435.0
lenve/vhr,1169,20608,0,2.0,1.0,7.0,2971.0
SeleniumHQ/selenium,2985,20352,27,4.0,1.0,3.0,86806.0
signalapp/Signal-Android,3381,20082,0,5.0,1.0,4.0,208910.0
hollischuang/toBeTopJavaer,875,19904,0,,,,
qiurunze123/miaosha,916,19536,0,3.0,1.0,3.0,8714.0
dbeaver/dbeaver,1975,19455,123,5.0,1.0,4.0,350574.0
ReactiveX/RxAndroid,2403,19342,18,1.0,1.0,1.0,1436.0
google/gson,2191,19302,0,2.0,1.0,1.0,28742.0
alibaba/easyexcel,1136,19164,1,5.0,1.0,4.0,15778.0
seata/seata,811,18923,30,6.0,1.0,7.0,161504.0
wuyouzhuguli/SpringAll,1051,18828,0,4.0,1.0,2.0,10936.0
halo-dev/halo,1093,18302,68,5.0,1.0,3.0,17946.0
dromara/hutool,2531,18282,81,3.0,1.0,5.0,88514.0
apache/kafka,3503,18277,0,4.0,1.0,5.0,336817.0
libgdx/libgdx,3142,18158,7,4.0,1.0,5.0,276829.0
alibaba/canal,2986,18131,20,4.0,1.0,6.0,104457.0
alibaba/spring-cloud-alibaba,1203,17950,18,5.0,1.0,3.0,17665.0
square/picasso,2865,17899,7,3.5,1.0,3.0,6818.0
xuxueli/xxl-job,1937,17606,30,3.0,1.0,7.0,8634.0
