Owner/Repository,Repository Age,Stars,Total Releases,CBO,DIT,WMC,LOC
Baseflow/PhotoView,3166,17560,5,3.0,1.0,3.0,1792.0
google/ExoPlayer,2470,17405,8,5.0,1.0,5.0,180530.0
jenkinsci/jenkins,3769,17046,89,4.0,2.0,3.0,172751.0
didi/DoraemonKit,947,16974,3,2.0,1.0,3.0,63905.0
nostra13/Android-Universal-Image-Loader,3399,16800,0,3.0,1.0,5.0,7434.0
alibaba/nacos,1007,16691,35,3.0,1.0,4.0,84815.0
facebook/fresco,2208,16510,43,5.0,1.0,4.0,79356.0
bazelbuild/bazel,2471,16368,97,5.0,1.0,4.0,153625.0
apache/skywalking,1958,16367,43,4.0,1.0,3.0,125685.0
redisson/redisson,2623,15944,91,6.0,1.0,5.0,32015.0
CarGuo/GSYVideoPlayer,1586,15887,23,2.0,1.0,4.0,28506.0
shuzheng/zheng,1626,15884,0,3.0,1.0,5.0,41742.0
apache/flink,2476,15769,0,5.0,1.0,4.0,978080.0
Tencent/tinker,1654,15692,38,2.0,1.0,6.0,38681.0
alibaba/Sentinel,1079,15560,17,3.0,1.0,4.0,50520.0
linlinjava/litemall,1092,15549,8,3.0,1.0,10.0,90774.0
mybatis/mybatis-3,2954,15233,33,2.0,1.0,4.0,52873.0
forezp/SpringCloudLearning,1440,15111,0,4.0,1.0,1.0,2401.0
dianping/cat,3025,15094,0,4.0,1.0,6.0,96693.0
elunez/eladmin,825,14802,6,4.0,1.0,2.0,7752.0
oracle/graal,1890,14776,32,4.0,1.0,4.0,1111266.0
android10/Android-CleanArchitecture,2403,14751,0,4.0,1.0,3.0,2260.0
brettwooldridge/HikariCP,2718,14727,0,3.0,1.0,5.0,10507.0
winterbe/java8-tutorial,2559,14496,0,1.0,1.0,2.0,2081.0
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,3036,14224,0,2.0,1.0,2.0,894.0
openzipkin/zipkin,3207,14127,62,5.0,1.0,5.0,37227.0
JeffLi1993/springboot-learning-example,1501,14062,0,3.0,1.0,2.0,2964.0
lottie-react-native/lottie-react-native,1511,13933,0,2.5,1.0,3.0,483.0
hdodenhof/CircleImageView,2617,13794,0,5.0,2.0,2.0,360.0
apache/rocketmq,1569,13765,1,3.0,1.0,4.0,88856.0
LMAX-Exchange/disruptor,3100,13526,10,3.0,1.0,3.0,10749.0
lgvalle/Material-Animations,2202,13521,0,2.0,1.0,1.0,1010.0
apache/shardingsphere,1886,13517,43,4.0,1.0,2.0,93613.0
TeamNewPipe/NewPipe,2023,12996,97,5.0,1.0,6.0,34929.0
alibaba/ARouter,1555,12953,16,2.0,1.0,2.0,3164.0
dyc87112/SpringBoot-Learning,1670,12888,0,4.0,1.0,1.0,4621.0
Tencent/QMUI_Android,1427,12740,34,3.0,1.0,2.0,61535.0
orhanobut/logger,2190,12705,16,6.0,1.0,5.5,827.0
Bigkoo/Android-PickerView,2272,12603,0,2.0,1.0,1.0,4421.0
Curzibn/Luban,1698,12377,6,1.0,1.0,2.0,1088.0
greenrobot/greenDAO,3435,12341,8,4.0,1.0,4.0,18545.0
facebook/stetho,2247,12172,12,3.0,1.0,2.0,19224.0
material-components/material-components-android,1564,12077,34,4.0,1.0,3.0,71092.0
daimajia/AndroidSwipeLayout,2397,12007,18,2.0,1.0,1.0,2770.0
eclipse/deeplearning4j,2668,11988,0,7.0,2.0,8.0,493423.0
Konloch/bytecode-viewer,2347,11945,48,2.0,1.0,4.0,25239.0
eclipse-vertx/vert.x,3562,11914,0,4.0,1.0,4.0,127754.0
zhihu/Matisse,1435,11880,15,5.0,1.0,4.5,3418.0
prestodb/presto,3143,11784,0,6.0,1.0,6.0,563020.0
daimajia/AndroidViewAnimations,2460,11738,9,2.0,2.0,1.0,965.0
medcl/elasticsearch-analysis-ik,3380,11683,127,4.5,1.0,13.0,2051.0
mockito/mockito,3078,11613,156,2.0,1.0,2.0,46879.0
arduino/Arduino,3835,11526,31,2.0,1.0,4.0,25942.0
iBotPeaches/Apktool,3286,11498,13,4.0,2.0,5.0,11411.0
android-hacker/VirtualXposed,1203,11421,49,2.0,2.0,1.0,47369.0
apache/hadoop,2394,11411,0,4.0,1.0,4.0,1558911.0
JessYanCoding/AndroidAutoSize,944,11246,14,4.0,1.0,4.0,1731.0
pinpoint-apm/pinpoint,2341,11246,46,4.0,1.0,3.0,317179.0
Tencent/VasSonic,1325,11225,10,2.0,1.0,3.0,7421.0
jfeinstein10/SlidingMenu,3183,11190,0,3.0,1.0,3.0,3085.0
google/tink,2477,11163,18,5.0,1.0,5.0,41256.0
androidannotations/androidannotations,3359,11122,0,4.0,1.0,3.0,28828.0
realm/realm-java,3254,11109,0,3.0,1.0,1.0,90970.0
youth5201314/banner,1791,11007,0,5.0,2.0,4.0,2621.0
justauth/JustAuth,777,10954,39,2.0,1.0,4.0,4134.0
alibaba/vlayout,1480,10705,34,3.0,1.0,3.0,14042.0
baomidou/mybatis-plus,1673,10662,20,4.0,1.0,2.0,18747.0
apache/druid,3068,10658,43,5.0,1.0,4.0,439686.0
Netflix/zuul,2927,10633,4,4.0,1.0,4.0,17194.0
android-async-http/android-async-http,3679,10606,3,4.0,1.0,6.0,7620.0
Yalantis/uCrop,1899,10549,12,3.0,1.0,4.0,4605.0
permissions-dispatcher/PermissionsDispatcher,2042,10503,40,0.0,1.0,3.0,3184.0
GoogleContainerTools/jib,1151,10381,112,4.0,1.0,5.0,33489.0
lipangit/JiaoZiVideoPlayer,1867,10337,78,6.0,2.0,7.0,4511.0
Netflix/eureka,3157,10275,138,4.0,1.0,4.0,32714.0
jeasonlzy/okhttp-OkGo,1889,10266,14,5.0,1.0,3.0,13418.0
H07000223/FlycoTabLayout,1956,10229,4,3.0,1.0,4.0,2730.0
JakeWharton/ViewPagerIndicator,3514,10210,0,5.5,3.0,1.5,2947.0
pagehelper/Mybatis-PageHelper,2474,10162,7,6.0,1.0,2.5,6196.0
Tencent/APIJSON,1578,10151,75,2.0,1.0,10.0,7937.0
lingochamp/FileDownloader,1913,10099,65,2.0,1.0,5.0,14387.0
rzwitserloot/lombok,4301,10088,3,2.0,1.0,2.0,93492.0
tbruyelle/RxPermissions,1997,10083,11,2.0,1.0,2.0,903.0
google/guice,2486,10039,14,3.0,1.0,1.0,79825.0
LuckSiege/PictureSelector,1534,10034,91,3.0,1.0,5.0,28579.0
JessYanCoding/MVPArms,1685,9991,25,5.0,1.0,5.0,5986.0
sqshq/piggymetrics,2181,9854,2,5.0,1.0,2.0,1881.0
YunaiV/SpringBoot-Labs,918,9789,0,4.0,1.0,1.0,25519.0
java-decompiler/jd-gui,2185,9769,18,3.0,1.0,3.0,19309.0
Anuken/Mindustry,1418,9752,117,2.0,1.0,2.0,91708.0
hyb1996/Auto.js,1511,9728,0,4.0,1.0,5.0,48388.0
redis/jedis,3933,9728,42,2.0,1.0,1.0,37904.0
liaohuqiu/android-Ultra-Pull-To-Refresh,2317,9695,8,2.0,1.0,1.0,5476.0
seaswalker/spring-analysis,1651,9679,0,2.0,1.0,2.0,378.0
codecentric/spring-boot-admin,2428,9672,54,6.0,1.0,3.0,11892.0
code4craft/webmagic,2886,9664,20,4.0,1.0,3.0,8415.0
YoKeyword/Fragmentation,1850,9657,30,3.0,1.0,2.0,8981.0
ksoichiro/Android-ObservableScrollView,2322,9601,0,3.0,2.0,3.0,12621.0
zhisheng17/flink-learning,807,9583,0,3.0,1.0,1.0,11504.0
antlr/antlr4,4060,9522,22,2.0,2.0,2.0,48097.0
heibaiying/BigData-Notes,739,9163,0,5.0,1.0,4.0,2145.0
google/auto,2857,9135,41,3.0,1.0,2.0,26404.0
navasmdc/MaterialDesignLibrary,2361,9132,3,3.0,1.0,2.0,2927.0
perwendel/spark,3605,9016,0,3.0,1.0,4.0,9588.0
react-native-camera/react-native-camera,2178,9008,123,2.0,1.0,3.0,12085.0
nathanmarz/storm,3470,8957,0,3.0,1.0,4.0,60552.0
chrisbanes/Android-PullToRefresh,3397,8809,0,4.5,2.0,3.0,3567.0
MyCATApache/Mycat-Server,2296,8774,7,3.0,1.0,6.0,92684.0
square/javapoet,2967,8761,0,2.0,1.0,3.0,7526.0
paascloud/paascloud-master,1097,8749,0,4.0,1.0,2.0,16639.0
apache/zookeeper,4374,9227,0,3.0,1.0,5.0,112862.0
umano/AndroidSlidingUpPanel,2848,9226,8,2.0,1.0,2.0,2011.0
janishar/mit-deep-learning-book-pdf,1441,9168,3,0.0,1.0,0.0,2.0
heibaiying/BigData-Notes,739,9163,0,5.0,1.0,4.0,2145.0
google/auto,2857,9135,41,3.0,1.0,2.0,26404.0
navasmdc/MaterialDesignLibrary,2361,9132,3,3.0,1.0,2.0,2927.0
perwendel/spark,3605,9016,0,3.0,1.0,4.0,9588.0
react-native-camera/react-native-camera,2178,9008,123,2.0,1.0,3.0,12085.0
googlesamples/easypermissions,1913,8982,12,8.0,1.0,6.0,1705.0
nathanmarz/storm,3470,8957,0,3.0,1.0,4.0,60552.0
bilibili/DanmakuFlameMaster,2776,8900,5,3.0,1.0,5.0,12879.0
clojure/clojure,3915,8826,0,0.0,1.0,1.0,43842.0
chrisbanes/Android-PullToRefresh,3397,8809,0,4.5,2.0,3.0,3567.0
MyCATApache/Mycat-Server,2296,8774,7,3.0,1.0,6.0,92684.0
square/javapoet,2967,8761,0,2.0,1.0,3.0,7526.0
paascloud/paascloud-master,1097,8749,0,4.0,1.0,2.0,16639.0
neo4j/neo4j,3048,8718,72,4.0,1.0,4.0,488914.0
koral--/android-gif-drawable,2969,8709,55,4.0,1.0,5.0,2931.0
jhy/jsoup,4107,8620,2,3.0,1.0,6.0,26350.0
chrisjenx/Calligraphy,2645,8609,4,5.0,1.0,3.0,968.0
lihengming/spring-boot-api-project-seed,1364,8576,4,4.0,1.0,3.0,484.0
laobie/StatusBarUtil,1858,8575,0,3.0,1.0,2.0,1036.0
hackware1993/MagicIndicator,1726,8516,12,4.0,1.0,4.0,4533.0
grpc/grpc-java,2292,8493,86,3.0,1.0,2.0,184947.0
apereo/cas,3478,8483,182,8.0,1.0,2.0,154013.0
pxb1988/dex2jar,2194,8472,4,4.0,1.0,4.0,41211.0
keycloak/keycloak,2816,8446,5,4.0,1.0,5.0,400784.0
roughike/BottomBar,1828,8446,4,2.0,1.0,1.0,2834.0
alibaba/DataX,1155,8441,0,3.0,1.0,4.0,47615.0
Freelander/Android_Data,2175,8373,0,2.0,1.0,21.0,116.0
careercup/CtCI-6th-Edition,2086,8352,0,2.0,1.0,7.0,21093.0
lzyzsd/JsBridge,2212,8340,0,1.5,1.0,2.0,914.0
didi/VirtualAPK,1358,8323,4,3.0,1.0,3.0,7981.0
zaproxy/zaproxy,2115,8309,202,3.0,1.0,5.0,175284.0
openjdk/jdk,913,8301,0,4.0,1.0,4.0,283552.0
thingsboard/thingsboard,1568,8275,41,4.0,1.0,3.0,87275.0
macrozheng/mall-learning,706,8227,0,3.0,1.0,7.0,131897.0
florent37/MaterialViewPager,2155,8224,11,3.0,1.0,3.0,1616.0
GcsSloop/AndroidNote,1900,8153,0,1.0,1.0,6.5,402.0
junit-team/junit4,4447,8088,13,3.0,1.0,2.0,32973.0
OpenAPITools/openapi-generator,1041,8001,38,5.0,1.0,6.0,450574.0
Blankj/awesome-java-leetcode,1431,7992,0,2.0,1.0,7.0,1772.0
OpenRefine/OpenRefine,3076,7955,26,5.0,1.0,5.0,60682.0
android/testing-samples,2350,7926,0,6.0,1.0,3.0,1699.0
DuGuQiuBai/Java,1940,7915,0,1.0,1.0,2.0,13656.0
Justson/AgentWeb,1406,7912,11,3.0,1.0,3.0,10428.0
dropwizard/dropwizard,3711,7905,104,5.0,1.0,3.0,38302.0
alibaba/atlas,1479,7902,7,4.0,1.0,5.0,157679.0
HannahMitt/HomeMirror,2034,7893,0,2.0,1.0,2.0,1719.0
stanfordnlp/CoreNLP,2821,7867,2,4.0,1.0,5.0,508741.0
TooTallNate/Java-WebSocket,4075,7832,12,2.0,1.0,4.0,14047.0
facebook/buck,2892,7788,56,5.0,1.0,4.0,493415.0
ybq/Android-SpinKit,1824,7785,0,5.0,2.0,3.0,1812.0
cats-oss/android-gpuimage,3087,7778,0,2.0,2.0,4.0,6341.0
Netflix/SimianArmy,3177,7743,4,4.0,1.0,6.0,16056.0
amitshekhariitbhu/Android-Debug-Database,1583,7737,12,4.0,1.0,4.0,2393.0
ChrisRM/material-theme-jetbrains,2003,7721,17,3.0,2.0,3.0,14517.0
asLody/VirtualApp,1716,7634,0,2.0,2.0,2.0,46624.0
trello/RxLifecycle,2068,7606,22,6.0,1.0,4.0,2523.0
JakeWharton/hugo,2670,7585,0,7.0,1.0,8.0,384.0
Activiti/Activiti,3108,7565,25,5.0,1.0,4.0,141981.0
firebase/quickstart-android,1787,7557,0,3.0,1.0,2.0,7673.0
guolindev/LitePal,2948,7556,0,3.0,1.0,3.0,11830.0
crossoverJie/cim,1033,7527,7,3.0,1.0,3.0,7280.0
hs-web/hsweb-framework,1886,7513,20,4.0,1.0,2.0,14605.0
apache/pulsar,1724,7471,45,4.0,1.0,3.0,317174.0
huanghaibin-dev/CalendarView,1468,7454,0,4.0,1.0,7.0,11557.0
kaushikgopal/RxJava-Android-Samples,2430,7451,0,3.0,1.0,3.0,2633.0
termux/termux-app,1973,7389,79,3.0,1.0,7.0,10972.0
shwenzhang/AndResGuard,1985,7356,4,2.0,1.0,8.0,6581.0
google/agera,1918,7304,16,4.0,1.0,3.0,10897.0
dropwizard/metrics,4038,7296,54,4.0,1.0,4.0,19580.0
jwtk/jjwt,2378,7295,0,3.0,1.0,2.0,5189.0
square/dagger,3150,7266,0,3.0,1.0,1.0,8363.0
aritraroy/UltimateAndroidReference,1438,7262,0,1.0,1.0,6.0,22.0
quarkusio/quarkus,986,7231,108,3.0,1.0,2.0,377606.0
cymcsg/UltimateRecyclerView,2241,7209,9,3.0,1.0,3.0,16083.0
Bearded-Hen/Android-Bootstrap,2694,7207,5,3.0,1.0,4.0,10389.0
airbnb/epoxy,1683,7190,61,4.0,2.0,2.0,31632.0
JakeWharton/ActionBarSherlock,3664,7182,32,4.0,1.0,3.0,26463.0
pedant/sweet-alert-dialog,2342,7140,2,1.5,1.0,5.5,943.0
lecho/hellocharts-android,2349,7140,14,4.0,1.0,4.0,10995.0
square/moshi,2413,7126,0,3.0,1.0,2.0,18045.0
geeeeeeeeek/WeChatLuckyMoney,1996,7112,20,3.0,1.0,4.0,931.0
crazycodeboy/TakePhoto,2053,7107,15,2.0,1.0,7.0,2403.0
facebook/litho,1511,7075,46,5.0,1.0,2.0,129320.0
MindorksOpenSource/android-interview-questions,1348,7034,0,0.0,1.0,1.0,5.0
vipshop/vjtools,1024,7004,9,2.0,1.0,4.0,18382.0
react-native-image-picker/react-native-image-picker,2110,6970,68,2.5,1.0,2.5,579.0
koush/AndroidAsync,3128,6957,0,2.0,1.0,2.0,18082.0
leolin310148/ShortcutBadger,2680,6954,0,5.0,1.0,2.0,885.0
ogaclejapan/SmartTabLayout,2224,6866,0,4.0,1.0,4.0,1912.0
hongyangAndroid/okhttputils,2040,6866,0,2.5,1.0,3.0,1961.0
apache/shardingsphere-elasticjob,2015,6862,25,4.0,1.0,3.0,20919.0
google/tsunami-security-scanner,288,6854,3,5.0,1.0,3.0,5355.0
OpenFeign/feign,2822,6777,14,3.0,1.0,2.0,22741.0
hongyangAndroid/AndroidAutoLayout,1946,6723,0,5.0,2.0,5.5,2370.0
google/android-classyshark,1984,6718,17,2.0,1.0,4.0,8714.0
swagger-api/swagger-core,3544,6709,63,3.0,1.0,1.0,31011.0
davemorrissey/subsampling-scale-image-view,2761,6683,21,3.5,1.0,3.0,4262.0
Qihoo360/RePlugin,1379,6664,17,3.0,1.0,5.0,29380.0
gedoor/MyBookshelf,1010,6659,160,4.0,1.0,5.0,50267.0
resilience4j/resilience4j,2115,6631,28,5.0,1.0,4.0,45195.0
kevin-wayne/algs4,2026,6531,0,4.0,1.0,18.0,21491.0
DroidPluginTeam/DroidPlugin,2030,6525,2,2.0,3.0,1.0,22301.0
apache/cassandra,4319,6510,0,5.0,1.0,5.0,378209.0
yanzhenjie/AndPermission,1649,6485,0,3.0,1.0,3.0,4486.0
alibaba/otter,2778,6482,10,3.0,1.0,4.0,68112.0
dyc87112/SpringCloud-Learning,1670,6482,0,5.0,1.0,2.0,14309.0
newbee-ltd/newbee-mall,544,6479,0,2.0,1.0,10.0,3875.0
naman14/Timber,2106,6474,5,3.0,1.0,2.0,21859.0
barteksc/AndroidPdfViewer,1750,6457,0,1.0,1.0,2.0,3328.0
java-native-access/jna,3611,6411,0,3.0,2.0,2.0,103359.0
eclipse/che,2184,6390,26,3.0,1.0,3.0,108479.0
abel533/Mapper,2309,6325,2,4.0,1.0,3.0,17425.0
zendesk/android-floating-action-button,2372,6323,0,3.0,1.0,2.0,1078.0
seven332/EhViewer,2500,6290,97,4.0,1.0,6.0,44372.0
NLPchina/elasticsearch-sql,2398,6290,154,5.0,1.0,11.0,18579.0
goldze/MVVMHabit,1336,6243,2,2.0,1.0,2.0,8960.0
koush/ion,2857,6236,0,3.0,1.0,2.0,9443.0
apache/storm,2690,6209,0,3.0,1.0,5.0,370715.0
Exrick/xmall,1329,6174,0,3.0,1.0,12.0,55520.0
Angel-ML/angel,1423,6166,18,5.0,1.0,8.0,196568.0
vinc3m1/RoundedImageView,2946,6147,19,9.0,2.0,3.0,1265.0
ikew0ng/SwipeBackLayout,2762,6098,0,3.0,1.0,8.0,1635.0
GrenderG/Toasty,1520,6092,18,3.0,1.0,1.0,390.0
rengwuxian/MaterialEditText,2331,6086,19,2.0,1.0,4.0,3385.0
macrozheng/mall-swarm,479,6086,1,3.0,1.0,11.0,100941.0
rey5137/material,2291,6063,10,3.0,1.0,4.0,27346.0
google/physical-web,2361,6053,17,3.0,1.0,3.0,7481.0
pedrovgs/EffectiveAndroidUI,2449,6044,0,3.0,1.0,3.0,1923.0
uber/RIBs,1262,6041,4,3.0,1.0,2.0,8603.0
gocd/gocd,2652,6012,68,5.0,1.0,4.0,291628.0
markzhai/AndroidPerformanceMonitor,1887,5971,0,3.0,1.0,4.0,2234.0
guardianproject/haven,1478,5966,36,4.0,1.0,5.0,4554.0
antoniolg/androidmvp,2542,5942,0,2.0,1.0,4.0,274.0
Meituan-Dianping/walle,1528,5927,1,2.0,1.0,4.0,4633.0
singwhatiwanna/dynamic-load-apk,2545,5909,0,3.0,1.0,2.0,2620.0
zhoutaoo/SpringCloud,1334,5896,0,5.0,1.0,1.0,2703.0
checkstyle/checkstyle,2756,5891,100,0.0,1.0,1.0,100288.0
daimajia/NumberProgressBar,2513,5889,3,0.5,1.0,1.0,380.0
lenve/VBlog,1178,5883,0,4.0,1.0,5.0,781.0
wyouflf/xUtils3,1968,5877,9,3.0,1.0,6.5,12561.0
google/closure-compiler,2528,5872,0,5.0,1.0,6.0,293744.0
KunMinX/Jetpack-MVVM-Best-Practice,504,5852,0,3.0,1.0,3.0,6808.0
aa112901/remusic,1820,5850,0,3.0,1.0,3.0,47786.0
smuyyh/BookReader,1688,5847,0,2.0,1.0,2.0,30918.0
NanoHttpd/nanohttpd,3142,5835,3,3.0,1.0,4.0,7106.0
signalapp/Signal-Server,2656,5828,0,3.0,1.0,3.5,36084.0
NLPchina/ansj_seg,3116,5818,3,4.0,1.0,5.0,12252.0
wildfirechat/server,785,5815,35,4.0,1.0,6.0,133500.0
springside/springside4,3311,5802,3,2.0,1.0,4.0,12842.0
processing/processing,2975,5782,48,2.0,1.0,3.0,110008.0
google/j2objc,2604,5753,38,5.0,2.0,8.0,128787.0
flyway/flyway,3016,5747,88,5.0,1.0,5.0,19597.0
spring-projects/spring-security,3355,5734,58,5.0,1.0,3.0,161262.0
JakeWharton/u2020,2681,5730,0,4.0,1.0,3.0,4813.0
json-path/JsonPath,3706,5718,6,3.0,1.0,4.0,13571.0
zouzg/mybatis-generator-gui,1775,5712,16,5.0,1.0,7.0,2923.0
k9mail/k-9,3695,5706,95,3.0,1.0,4.0,64805.0
TechEmpower/FrameworkBenchmarks,2918,5701,15,4.0,1.0,2.0,15553.0
AsyncHttpClient/async-http-client,3664,5692,0,4.0,1.0,4.0,32642.0
Nightonke/BoomMenu,1825,5690,0,4.0,1.0,4.0,7710.0
ArthurHub/Android-Image-Cropper,2254,5681,32,4.0,1.0,4.5,4655.0
Graylog2/graylog2-server,3958,5657,28,6.0,1.0,4.0,148484.0
weibocom/motan,1793,5650,16,4.0,1.0,4.0,37604.0
Devlight/InfiniteCycleViewPager,1669,5650,2,3.0,2.0,2.0,3564.0
nhaarman/ListViewAnimations,2921,5646,14,5.0,2.0,3.0,5697.0
prolificinteractive/material-calendarview,2229,5641,22,4.0,1.0,3.0,3658.0
daimajia/AndroidImageSlider,2481,5636,5,2.0,1.0,3.0,3813.0
SonarSource/sonarqube,3725,5617,7,5.0,1.0,4.0,373420.0
zo0r/react-native-push-notification,1921,5603,26,4.0,1.0,3.0,2026.0
ityouknow/spring-cloud-examples,1420,5577,0,4.0,1.0,1.0,762.0
react-native-video/react-native-video,2179,5559,5,3.0,1.0,3.0,3280.0
amlcurran/ShowcaseView,3138,5554,13,5.0,1.0,3.0,2086.0
JakeWharton/DiskLruCache,3360,5551,0,2.5,1.0,11.0,1937.0
emilsjolander/StickyListHeaders,3294,5513,16,3.0,1.0,3.0,2112.0
google/error-prone,2401,5510,9,4.0,1.0,2.0,103921.0
dmytrodanylyk/circular-progress-button,2476,5492,0,2.0,1.0,3.0,1416.0
hongyangAndroid/FlowLayout,2029,5488,0,3.0,1.0,1.0,810.0
lets-blade/blade,2108,5481,9,3.0,1.0,4.0,14775.0
facebookarchive/rebound,2715,5466,10,2.0,1.0,3.0,4095.0
sockeqwe/mosby,2185,5460,15,3.0,1.0,3.0,17193.0
sohutv/cachecloud,1878,5435,4,2.0,1.0,3.0,79578.0
alibaba/freeline,1688,5433,22,2.0,1.0,3.0,5357.0
real-logic/aeron,2596,5419,72,4.0,1.0,6.0,76123.0
wasabeef/richeditor-android,2180,5412,0,2.0,1.0,1.0,804.0
knightliao/disconf,2484,5409,12,3.0,1.0,4.0,14009.0
joelittlejohn/jsonschema2pojo,2826,5408,57,5.0,1.0,5.0,13620.0
jgilfelt/SystemBarTint,2678,5399,3,7.0,2.0,4.0,807.0
li-xiaojun/XPopup,832,5397,118,3.0,1.0,2.0,9897.0
yarolegovich/DiscreteScrollView,1476,5385,2,2.0,1.0,2.0,3698.0
jpush/aurora-imui,1556,5384,42,2.5,1.0,3.0,17789.0
evant/gradle-retrolambda,2782,5384,37,3.0,1.0,2.0,623.0
sshahine/JFoenix,2018,5380,0,4.0,1.0,3.0,24546.0
evernote/android-job,2037,5376,31,4.0,1.0,4.0,10679.0
yuanguangxin/LeetCode,432,5371,0,1.0,1.0,5.0,3181.0
dm77/barcodescanner,2579,5361,6,2.0,1.0,2.0,2796.0
k0shk0sh/FastHub,1489,5343,63,6.0,1.0,4.0,40321.0
febsteam/FEBS-Shiro,1094,5342,0,4.5,1.0,3.0,4560.0
liyifeng1994/ssm,1734,5330,0,2.0,1.0,3.0,369.0
ionic-team/capacitor,1216,5328,49,3.0,1.0,7.5,5165.0
facebook/facebook-android-sdk,3965,5321,36,3.0,1.0,3.0,51099.0
lucasr/twoway-view,2981,5278,0,4.0,1.0,6.0,3688.0
apache/tomcat,3456,5247,0,3.0,1.0,5.0,332357.0
rest-assured/rest-assured,3801,5239,0,5.0,1.0,3.0,25790.0
