owner,name,prs_merged,prs_closed,url,id,index
mui-org,material-ui,10322,2291,https://github.com/mui-org/material-ui,MDEwOlJlcG9zaXRvcnkyMzA4MzE1Ng==,47
PanJiaChen,vue-element-admin,313,141,https://github.com/PanJiaChen/vue-element-admin,MDEwOlJlcG9zaXRvcnk4ODQ2NDcwNA==,48
FortAwesome,Font-Awesome,183,405,https://github.com/FortAwesome/Font-Awesome,MDEwOlJlcG9zaXRvcnkzNDcwNDcx,49
vercel,next.js,6200,1557,https://github.com/vercel/next.js,MDEwOlJlcG9zaXRvcnk3MDEwNzc4Ng==,50
iluwatar,java-design-patterns,713,287,https://github.com/iluwatar/java-design-patterns,MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==,51
laravel,laravel,1298,2620,https://github.com/laravel/laravel,MDEwOlJlcG9zaXRvcnkxODYzMzI5,52
avelino,awesome-go,2352,882,https://github.com/avelino/awesome-go,MDEwOlJlcG9zaXRvcnkyMTU0MDc1OQ==,53
goldbergyoni,nodebestpractices,574,92,https://github.com/goldbergyoni/nodebestpractices,MDEwOlJlcG9zaXRvcnkxMDM2MzM5ODQ=,54
storybookjs,storybook,5375,1399,https://github.com/storybookjs/storybook,MDEwOlJlcG9zaXRvcnk1NDE3MzU5Mw==,55
moby,moby,16680,4378,https://github.com/moby/moby,MDEwOlJlcG9zaXRvcnk3NjkxNjMx,56
vuejs,awesome-vue,3106,312,https://github.com/vuejs/awesome-vue,MDEwOlJlcG9zaXRvcnk0NDU3MTcxOA==,57
nvbn,thefuck,429,88,https://github.com/nvbn/thefuck,MDEwOlJlcG9zaXRvcnkzMzYxNDMwNA==,58
angular,angular.js,787,7109,https://github.com/angular/angular.js,MDEwOlJlcG9zaXRvcnk0NjAwNzg=,59
webpack,webpack,3566,940,https://github.com/webpack/webpack,MDEwOlJlcG9zaXRvcnkzNjc4NzMx,60
django,django,6392,7625,https://github.com/django/django,MDEwOlJlcG9zaXRvcnk0MTY0NDgy,61
gothinkster,realworld,173,36,https://github.com/gothinkster/realworld,MDEwOlJlcG9zaXRvcnk1MjYzMTg0MQ==,62
hakimel,reveal.js,340,474,https://github.com/hakimel/reveal.js,MDEwOlJlcG9zaXRvcnkxODYxNDU4,63
reduxjs,redux,1395,724,https://github.com/reduxjs/redux,MDEwOlJlcG9zaXRvcnkzNjUzNTE1Ng==,64
apple,swift,32061,4180,https://github.com/apple/swift,MDEwOlJlcG9zaXRvcnk0NDgzODk0OQ==,65
awesome-selfhosted,awesome-selfhosted,1512,340,https://github.com/awesome-selfhosted/awesome-selfhosted,MDEwOlJlcG9zaXRvcnkzNjYzMzM3MA==,66
tonsky,FiraCode,102,39,https://github.com/tonsky/FiraCode,MDEwOlJlcG9zaXRvcnkyNjUwMDc4Nw==,67
atom,atom,3790,1120,https://github.com/atom/atom,MDEwOlJlcG9zaXRvcnkzMjI4NTA1,68
jquery,jquery,507,2158,https://github.com/jquery/jquery,MDEwOlJlcG9zaXRvcnkxNjcxNzQ=,69
pallets,flask,1145,700,https://github.com/pallets/flask,MDEwOlJlcG9zaXRvcnk1OTY4OTI=,70
elastic,elasticsearch,37381,6657,https://github.com/elastic/elasticsearch,MDEwOlJlcG9zaXRvcnk1MDc3NzU=,71
spring-projects,spring-boot,41,4601,https://github.com/spring-projects/spring-boot,MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw,72
rust-lang,rust,33736,10940,https://github.com/rust-lang/rust,MDEwOlJlcG9zaXRvcnk3MjQ3MTI=,73
opencv,opencv,9622,2225,https://github.com/opencv/opencv,MDEwOlJlcG9zaXRvcnk1MTA4MDUx,74
typicode,json-server,96,109,https://github.com/typicode/json-server,MDEwOlJlcG9zaXRvcnkxNDc0NzU5OA==,75
socketio,socket.io,393,372,https://github.com/socketio/socket.io,MDEwOlJlcG9zaXRvcnk1NTc5ODA=,76
chartjs,Chart.js,2235,721,https://github.com/chartjs/Chart.js,MDEwOlJlcG9zaXRvcnk4ODQzNjgz,77
expressjs,express,211,757,https://github.com/expressjs/express,MDEwOlJlcG9zaXRvcnkyMzcxNTk=,78
microsoft,PowerToys,2242,283,https://github.com/microsoft/PowerToys,MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=,79
netdata,netdata,4154,471,https://github.com/netdata/netdata,MDEwOlJlcG9zaXRvcnkxMDc0NDE4Mw==,80
shadowsocks,shadowsocks-windows,263,192,https://github.com/shadowsocks/shadowsocks-windows,MDEwOlJlcG9zaXRvcnk3NjAwNDA5,81
bitcoin,bitcoin,10020,4611,https://github.com/bitcoin/bitcoin,MDEwOlJlcG9zaXRvcnkxMTgxOTI3,82
yangshun,tech-interview-handbook,129,38,https://github.com/yangshun/tech-interview-handbook,MDEwOlJlcG9zaXRvcnk2MjYwNzIyNw==,83
gohugoio,hugo,1326,1680,https://github.com/gohugoio/hugo,MDEwOlJlcG9zaXRvcnkxMTE4MDY4Nw==,84
keras-team,keras,2417,1642,https://github.com/keras-team/keras,MDEwOlJlcG9zaXRvcnkzMzAxNTU4Mw==,85
chrislgarry,Apollo-11,292,87,https://github.com/chrislgarry/Apollo-11,MDEwOlJlcG9zaXRvcnkxODQwODYzNQ==,86
httpie,httpie,144,127,https://github.com/httpie/httpie,MDEwOlJlcG9zaXRvcnkzNTQ0NDI0,87
thedaviddias,Front-End-Checklist,164,104,https://github.com/thedaviddias/Front-End-Checklist,MDEwOlJlcG9zaXRvcnkxMDcxMTE0MjE=,88
gatsbyjs,gatsby,14444,2783,https://github.com/gatsbyjs/gatsby,MDEwOlJlcG9zaXRvcnkzNjA0MDg5NA==,89
ElemeFE,element,3095,1188,https://github.com/ElemeFE/element,MDEwOlJlcG9zaXRvcnk2NzI3NDczNg==,90
josephmisiti,awesome-machine-learning,671,36,https://github.com/josephmisiti/awesome-machine-learning,MDEwOlJlcG9zaXRvcnkyMTg3MjM5Mg==,91
h5bp,html5-boilerplate,454,778,https://github.com/h5bp/html5-boilerplate,MDEwOlJlcG9zaXRvcnk0ODY1NTA=,92
Semantic-Org,Semantic-UI,351,404,https://github.com/Semantic-Org/Semantic-UI,MDEwOlJlcG9zaXRvcnk5MzA5MDkz,93
lodash,lodash,571,535,https://github.com/lodash/lodash,MDEwOlJlcG9zaXRvcnkzOTU1NjQ3,94
ryanmcdermott,clean-code-javascript,145,69,https://github.com/ryanmcdermott/clean-code-javascript,MDEwOlJlcG9zaXRvcnk3NDc5MTM2Ng==,95
h5bp,Front-end-Developer-Interview-Questions,365,162,https://github.com/h5bp/Front-end-Developer-Interview-Questions,MDEwOlJlcG9zaXRvcnkzNDAyNTM3,96
resume,resume.github.com,84,84,https://github.com/resume/resume.github.com,MDEwOlJlcG9zaXRvcnkxMzM0MzY5,97
redis,redis,1784,1504,https://github.com/redis/redis,MDEwOlJlcG9zaXRvcnkxNTYwMTg=,98
rails,rails,17952,8785,https://github.com/rails/rails,MDEwOlJlcG9zaXRvcnk4NTE0,99
