owner,name,prs_merged,prs_closed,url,id,index,cursor
microsoft,terminal,1832,247,https://github.com/microsoft/terminal,MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=,39,Y3Vyc29yOjQx
angular,angular,2956,15189,https://github.com/angular/angular,MDEwOlJlcG9zaXRvcnkyNDE5NTMzOQ==,40,Y3Vyc29yOjQy
30-seconds,30-seconds-of-code,739,647,https://github.com/30-seconds/30-seconds-of-code,MDEwOlJlcG9zaXRvcnkxMTI1MDcwODY=,41,Y3Vyc29yOjQz
microsoft,TypeScript,10529,2183,https://github.com/microsoft/TypeScript,MDEwOlJlcG9zaXRvcnkyMDkyOTAyNQ==,42,Y3Vyc29yOjQ0
puppeteer,puppeteer,1860,387,https://github.com/puppeteer/puppeteer,MDEwOlJlcG9zaXRvcnk5MDc5NjY2Mw==,43,Y3Vyc29yOjQ1
animate-css,animate.css,231,246,https://github.com/animate-css/animate.css,MDEwOlJlcG9zaXRvcnkyNTYxNTgy,44,Y3Vyc29yOjQ2
mrdoob,three.js,8307,2701,https://github.com/mrdoob/three.js,MDEwOlJlcG9zaXRvcnk1NzYyMDE=,45,Y3Vyc29yOjQ3
tensorflow,models,2148,1125,https://github.com/tensorflow/models,MDEwOlJlcG9zaXRvcnk1MTExNzgzNw==,46,Y3Vyc29yOjQ4
mui-org,material-ui,10322,2291,https://github.com/mui-org/material-ui,MDEwOlJlcG9zaXRvcnkyMzA4MzE1Ng==,47,Y3Vyc29yOjQ5
PanJiaChen,vue-element-admin,313,141,https://github.com/PanJiaChen/vue-element-admin,MDEwOlJlcG9zaXRvcnk4ODQ2NDcwNA==,48,Y3Vyc29yOjUw
FortAwesome,Font-Awesome,183,405,https://github.com/FortAwesome/Font-Awesome,MDEwOlJlcG9zaXRvcnkzNDcwNDcx,49,Y3Vyc29yOjUx
vercel,next.js,6200,1557,https://github.com/vercel/next.js,MDEwOlJlcG9zaXRvcnk3MDEwNzc4Ng==,50,Y3Vyc29yOjUy
iluwatar,java-design-patterns,713,287,https://github.com/iluwatar/java-design-patterns,MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==,51,Y3Vyc29yOjUz
laravel,laravel,1298,2621,https://github.com/laravel/laravel,MDEwOlJlcG9zaXRvcnkxODYzMzI5,52,Y3Vyc29yOjU0
avelino,awesome-go,2352,882,https://github.com/avelino/awesome-go,MDEwOlJlcG9zaXRvcnkyMTU0MDc1OQ==,53,Y3Vyc29yOjU2
goldbergyoni,nodebestpractices,574,92,https://github.com/goldbergyoni/nodebestpractices,MDEwOlJlcG9zaXRvcnkxMDM2MzM5ODQ=,54,Y3Vyc29yOjU3
storybookjs,storybook,5375,1399,https://github.com/storybookjs/storybook,MDEwOlJlcG9zaXRvcnk1NDE3MzU5Mw==,55,Y3Vyc29yOjU4
moby,moby,16680,4379,https://github.com/moby/moby,MDEwOlJlcG9zaXRvcnk3NjkxNjMx,56,Y3Vyc29yOjU5
vuejs,awesome-vue,3106,312,https://github.com/vuejs/awesome-vue,MDEwOlJlcG9zaXRvcnk0NDU3MTcxOA==,57,Y3Vyc29yOjYw
nvbn,thefuck,429,88,https://github.com/nvbn/thefuck,MDEwOlJlcG9zaXRvcnkzMzYxNDMwNA==,58,Y3Vyc29yOjYx
angular,angular.js,787,7109,https://github.com/angular/angular.js,MDEwOlJlcG9zaXRvcnk0NjAwNzg=,59,Y3Vyc29yOjYy
webpack,webpack,3566,940,https://github.com/webpack/webpack,MDEwOlJlcG9zaXRvcnkzNjc4NzMx,60,Y3Vyc29yOjYz
django,django,6392,7627,https://github.com/django/django,MDEwOlJlcG9zaXRvcnk0MTY0NDgy,61,Y3Vyc29yOjY0
gothinkster,realworld,173,36,https://github.com/gothinkster/realworld,MDEwOlJlcG9zaXRvcnk1MjYzMTg0MQ==,62,Y3Vyc29yOjY1
hakimel,reveal.js,340,474,https://github.com/hakimel/reveal.js,MDEwOlJlcG9zaXRvcnkxODYxNDU4,63,Y3Vyc29yOjY2
reduxjs,redux,1398,724,https://github.com/reduxjs/redux,MDEwOlJlcG9zaXRvcnkzNjUzNTE1Ng==,64,Y3Vyc29yOjY3
apple,swift,32067,4184,https://github.com/apple/swift,MDEwOlJlcG9zaXRvcnk0NDgzODk0OQ==,65,Y3Vyc29yOjY4
awesome-selfhosted,awesome-selfhosted,1512,340,https://github.com/awesome-selfhosted/awesome-selfhosted,MDEwOlJlcG9zaXRvcnkzNjYzMzM3MA==,66,Y3Vyc29yOjY5
tonsky,FiraCode,102,39,https://github.com/tonsky/FiraCode,MDEwOlJlcG9zaXRvcnkyNjUwMDc4Nw==,67,Y3Vyc29yOjcw
atom,atom,3790,1120,https://github.com/atom/atom,MDEwOlJlcG9zaXRvcnkzMjI4NTA1,68,Y3Vyc29yOjcx
jquery,jquery,507,2158,https://github.com/jquery/jquery,MDEwOlJlcG9zaXRvcnkxNjcxNzQ=,69,Y3Vyc29yOjcy
pallets,flask,1145,700,https://github.com/pallets/flask,MDEwOlJlcG9zaXRvcnk1OTY4OTI=,70,Y3Vyc29yOjcz
elastic,elasticsearch,37383,6657,https://github.com/elastic/elasticsearch,MDEwOlJlcG9zaXRvcnk1MDc3NzU=,71,Y3Vyc29yOjc0
spring-projects,spring-boot,41,4601,https://github.com/spring-projects/spring-boot,MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw,72,Y3Vyc29yOjc1
rust-lang,rust,33749,10945,https://github.com/rust-lang/rust,MDEwOlJlcG9zaXRvcnk3MjQ3MTI=,73,Y3Vyc29yOjc2
opencv,opencv,9622,2225,https://github.com/opencv/opencv,MDEwOlJlcG9zaXRvcnk1MTA4MDUx,74,Y3Vyc29yOjc3
typicode,json-server,96,109,https://github.com/typicode/json-server,MDEwOlJlcG9zaXRvcnkxNDc0NzU5OA==,75,Y3Vyc29yOjc5
socketio,socket.io,393,372,https://github.com/socketio/socket.io,MDEwOlJlcG9zaXRvcnk1NTc5ODA=,76,Y3Vyc29yOjgw
chartjs,Chart.js,2242,721,https://github.com/chartjs/Chart.js,MDEwOlJlcG9zaXRvcnk4ODQzNjgz,77,Y3Vyc29yOjgx
expressjs,express,211,757,https://github.com/expressjs/express,MDEwOlJlcG9zaXRvcnkyMzcxNTk=,78,Y3Vyc29yOjgy
microsoft,PowerToys,2242,283,https://github.com/microsoft/PowerToys,MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=,79,Y3Vyc29yOjg0
netdata,netdata,4154,471,https://github.com/netdata/netdata,MDEwOlJlcG9zaXRvcnkxMDc0NDE4Mw==,80,Y3Vyc29yOjg1
shadowsocks,shadowsocks-windows,263,192,https://github.com/shadowsocks/shadowsocks-windows,MDEwOlJlcG9zaXRvcnk3NjAwNDA5,81,Y3Vyc29yOjg2
bitcoin,bitcoin,10022,4614,https://github.com/bitcoin/bitcoin,MDEwOlJlcG9zaXRvcnkxMTgxOTI3,82,Y3Vyc29yOjg3
yangshun,tech-interview-handbook,129,38,https://github.com/yangshun/tech-interview-handbook,MDEwOlJlcG9zaXRvcnk2MjYwNzIyNw==,83,Y3Vyc29yOjg4
gohugoio,hugo,1326,1680,https://github.com/gohugoio/hugo,MDEwOlJlcG9zaXRvcnkxMTE4MDY4Nw==,84,Y3Vyc29yOjg5
keras-team,keras,2417,1642,https://github.com/keras-team/keras,MDEwOlJlcG9zaXRvcnkzMzAxNTU4Mw==,85,Y3Vyc29yOjkw
chrislgarry,Apollo-11,292,87,https://github.com/chrislgarry/Apollo-11,MDEwOlJlcG9zaXRvcnkxODQwODYzNQ==,86,Y3Vyc29yOjkz
httpie,httpie,144,127,https://github.com/httpie/httpie,MDEwOlJlcG9zaXRvcnkzNTQ0NDI0,87,Y3Vyc29yOjk0
thedaviddias,Front-End-Checklist,164,104,https://github.com/thedaviddias/Front-End-Checklist,MDEwOlJlcG9zaXRvcnkxMDcxMTE0MjE=,88,Y3Vyc29yOjk1
gatsbyjs,gatsby,14444,2783,https://github.com/gatsbyjs/gatsby,MDEwOlJlcG9zaXRvcnkzNjA0MDg5NA==,89,Y3Vyc29yOjk2
ElemeFE,element,3095,1188,https://github.com/ElemeFE/element,MDEwOlJlcG9zaXRvcnk2NzI3NDczNg==,90,Y3Vyc29yOjk3
josephmisiti,awesome-machine-learning,671,36,https://github.com/josephmisiti/awesome-machine-learning,MDEwOlJlcG9zaXRvcnkyMTg3MjM5Mg==,91,Y3Vyc29yOjk4
h5bp,html5-boilerplate,454,778,https://github.com/h5bp/html5-boilerplate,MDEwOlJlcG9zaXRvcnk0ODY1NTA=,92,Y3Vyc29yOjk5
Semantic-Org,Semantic-UI,351,404,https://github.com/Semantic-Org/Semantic-UI,MDEwOlJlcG9zaXRvcnk5MzA5MDkz,93,Y3Vyc29yOjEwMA==
lodash,lodash,571,535,https://github.com/lodash/lodash,MDEwOlJlcG9zaXRvcnkzOTU1NjQ3,94,Y3Vyc29yOjEwMQ==
ryanmcdermott,clean-code-javascript,145,69,https://github.com/ryanmcdermott/clean-code-javascript,MDEwOlJlcG9zaXRvcnk3NDc5MTM2Ng==,95,Y3Vyc29yOjEwMg==
h5bp,Front-end-Developer-Interview-Questions,365,162,https://github.com/h5bp/Front-end-Developer-Interview-Questions,MDEwOlJlcG9zaXRvcnkzNDAyNTM3,96,Y3Vyc29yOjEwMw==
resume,resume.github.com,84,84,https://github.com/resume/resume.github.com,MDEwOlJlcG9zaXRvcnkxMzM0MzY5,97,Y3Vyc29yOjEwNA==
redis,redis,1784,1504,https://github.com/redis/redis,MDEwOlJlcG9zaXRvcnkxNTYwMTg=,98,Y3Vyc29yOjEwNQ==
rails,rails,17953,8785,https://github.com/rails/rails,MDEwOlJlcG9zaXRvcnk4NTE0,99,Y3Vyc29yOjEwNg==
