Owner/Repository,Repository Age,Stars,Total Releases,CBO,DIT,WMC,LOC
permissions-dispatcher/PermissionsDispatcher,2041,10503,40,,,,
GoogleContainerTools/jib,1150,10381,112,,,,
lipangit/JiaoZiVideoPlayer,1866,10337,78,,,,
Netflix/eureka,3156,10275,138,,,,
jeasonlzy/okhttp-OkGo,1888,10266,14,,,,
H07000223/FlycoTabLayout,1955,10229,4,,,,
JakeWharton/ViewPagerIndicator,3513,10210,0,,,,
pagehelper/Mybatis-PageHelper,2473,10162,7,,,,
Tencent/APIJSON,1577,10151,75,,,,
lingochamp/FileDownloader,1912,10099,65,,,,
rzwitserloot/lombok,4300,10088,3,,,,
tbruyelle/RxPermissions,1996,10083,11,,,,
google/guice,2485,10039,14,,,,
LuckSiege/PictureSelector,1533,10034,91,,,,
JessYanCoding/MVPArms,1684,9991,25,,,,
sqshq/piggymetrics,2180,9854,2,,,,
YunaiV/SpringBoot-Labs,917,9789,0,,,,
java-decompiler/jd-gui,2184,9769,18,,,,
Anuken/Mindustry,1417,9752,117,,,,
hyb1996/Auto.js,1510,9728,0,,,,
redis/jedis,3932,9728,42,,,,
liaohuqiu/android-Ultra-Pull-To-Refresh,2316,9695,8,,,,
seaswalker/spring-analysis,1650,9679,0,,,,
codecentric/spring-boot-admin,2427,9672,54,,,,
code4craft/webmagic,2885,9664,20,,,,
YoKeyword/Fragmentation,1849,9657,30,,,,
ksoichiro/Android-ObservableScrollView,2321,9601,0,,,,
zhisheng17/flink-learning,806,9583,0,,,,
antlr/antlr4,4059,9522,22,,,,
aosp-mirror/platform_frameworks_base,4530,9505,0,,,,
ben-manes/caffeine,2286,9503,50,,,,
mission-peace/interview,2432,9486,0,,,,
pockethub/PocketHub,3478,9482,1,,,,
81813780/AVLoadingIndicatorView,1971,9466,1,,,,
frank-lam/fullstack-tutorial,1069,9458,0,,,,
gyf-dev/ImmersionBar,1428,9412,0,,,,
daniulive/SmarterStreaming,1817,9359,0,,,,
williamfiset/Algorithms,1460,9317,0,,,,
wasabeef/glide-transformations,2259,9240,0,,,,
apache/zookeeper,4373,9227,0,,,,
