nameWithOwner,createdAt,pushedAt,primaryLanguage,stargazers,releases,mergedPRs,closedIssues,totalIssues
reduxjs/redux,2015-05-29T23:53:15Z,2021-02-23T10:43:40Z,{'name': 'TypeScript'},{'totalCount': 55373},{'totalCount': 61},{'totalCount': 1385},{'totalCount': 1818},{'totalCount': 1855}
apple/swift,2015-10-23T21:15:07Z,2021-02-23T12:00:57Z,{'name': 'C++'},{'totalCount': 55134},{'totalCount': 30},{'totalCount': 31518},{'totalCount': 0},{'totalCount': 0}
gothinkster/realworld,2016-02-26T20:49:53Z,2021-02-23T06:01:28Z,{'name': 'JavaScript'},{'totalCount': 54755},{'totalCount': 0},{'totalCount': 169},{'totalCount': 188},{'totalCount': 400}
jquery/jquery,2009-04-03T15:20:14Z,2021-02-17T21:19:56Z,{'name': 'JavaScript'},{'totalCount': 54570},{'totalCount': 1},{'totalCount': 506},{'totalCount': 2027},{'totalCount': 2088}
atom/atom,2012-01-20T18:18:21Z,2021-02-23T04:00:15Z,{'name': 'JavaScript'},{'totalCount': 54390},{'totalCount': 526},{'totalCount': 3775},{'totalCount': 15739},{'totalCount': 16345}
tonsky/FiraCode,2014-11-11T19:32:38Z,2021-02-18T23:34:41Z,{'name': 'Clojure'},{'totalCount': 54192},{'totalCount': 26},{'totalCount': 98},{'totalCount': 796},{'totalCount': 1046}
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,2021-02-23T08:52:46Z,{'name': 'JavaScript'},{'totalCount': 53981},{'totalCount': 0},{'totalCount': 1484},{'totalCount': 500},{'totalCount': 576}
pallets/flask,2010-04-06T11:11:59Z,2021-02-22T21:52:38Z,{'name': 'Python'},{'totalCount': 53978},{'totalCount': 10},{'totalCount': 1134},{'totalCount': 2035},{'totalCount': 2055}
elastic/elasticsearch,2010-02-08T13:20:56Z,2021-02-23T12:25:27Z,{'name': 'Java'},{'totalCount': 53800},{'totalCount': 41},{'totalCount': 36001},{'totalCount': 23538},{'totalCount': 26251}
spring-projects/spring-boot,2012-10-19T15:02:57Z,2021-02-23T11:48:05Z,{'name': 'Java'},{'totalCount': 53626},{'totalCount': 87},{'totalCount': 41},{'totalCount': 20111},{'totalCount': 20596}
socketio/socket.io,2010-03-11T18:24:48Z,2021-02-21T17:58:45Z,{'name': 'JavaScript'},{'totalCount': 52580},{'totalCount': 33},{'totalCount': 390},{'totalCount': 2742},{'totalCount': 2984}
opencv/opencv,2012-07-19T09:40:17Z,2021-02-23T09:36:48Z,{'name': 'C++'},{'totalCount': 52524},{'totalCount': 50},{'totalCount': 9477},{'totalCount': 5940},{'totalCount': 7771}
rust-lang/rust,2010-06-16T20:39:03Z,2021-02-23T11:05:26Z,{'name': 'Rust'},{'totalCount': 52511},{'totalCount': 84},{'totalCount': 33102},{'totalCount': 31513},{'totalCount': 38034}
